id,Class,Order,Family,Genus,Species,Sub.species,Authority,Common.Name,Location.of.population,Country.list,Region,Decimal.Latitude,Decimal.Longitude,Are.coordinates.for.specific.location.,system,biome,realm,Native,Alien,Invasive,Units,Sampling.method,Data.transformed,year,pop
19238,Actinopteri,Centrarchiformes,Latridae,Nemadactylus,macropterus,,(Forster 1801),Tarakihi,New Zealand,New Zealand,Oceania,-43.261601,173.193165,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - CASAL,No,2005,9685.52
19239,Actinopteri,Ophidiiformes,Ophidiidae,Genypterus,blacodes,,(Forster 1801),Pink cusk-eel,New Zealand Area 6b,New Zealand,Oceania,-50.790215,173.357348,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - CASAL,No,2005,7082.92
19240,Actinopteri,Perciformes,Uranoscopidae,Kathetostoma,giganteum,,Haast 1873,Giant stargazer,New Zealand Area 7,New Zealand,Oceania,-41.435959,169.196266,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - CASAL,No,2005,3707.94
19241,Actinopteri,Perciformes,Carangidae,Pseudocaranx,dentex,,(Bloch & Schneider 1801),White trevally,New Zealand Area 7,New Zealand,Oceania,-41.435959,169.196266,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - CASAL,No,2005,22474.7
19242,Actinopteri,Ophidiiformes,Ophidiidae,Genypterus,blacodes,,(Forster 1801),Pink cusk-eel,New Zealand Areas 3 and 4,New Zealand,Oceania,-44.165796,177.095481,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - CASAL,No,2005,179701
19243,Actinopteri,Ophidiiformes,Ophidiidae,Genypterus,blacodes,,(Forster 1801),Pink cusk-eel,New Zealand Areas 5 and 6,New Zealand,Oceania,-51.446946,170.766115,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - CASAL,No,2005,282851
19244,Actinopteri,Trachichthyiformes,Trachichthyidae,Hoplostethus,atlanticus,,Collett 1889,Orange roughy,New Zealand Mid East Coast,New Zealand,Oceania,-43.547136,174.335306,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - CASAL,No,2005,15557.7
19292,Actinopteri,Zeiformes,Oreosomatidae,Allocyttus,niger,,"James, Inada & Nakamura 1988",Black oreo,Pukaki Rise,New Zealand,Oceania,-50,172,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - CASAL,No,2005,17640.5
19307,Actinopteri,Beryciformes,Berycidae,Centroberyx,gerrardi,,(Günther 1887),Bight redfish,Southeast Australia,Australia,Oceania,-39.342343,138.563671,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - Stock Synthesis v2.0 model,No,2005,16517.3
19308,Actinopteri,Gadiformes,Merlucciidae,Macruronus,novaezelandiae,,(Hector 1871),Blue grenadier,Southeast Australia,Australia,Oceania,-39.342343,138.563671,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - Stock Synthesis v3.0 model,No,2005,40228.39
19309,Actinopteri,Scombriformes,Gempylidae,Rexea,solandri,,(Cuvier 1832),Silver gemfish,Southeast Australia,Australia,Oceania,-39.342343,138.563671,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - Stock Synthesis v2.0 model,No,2005,840.083
19310,Actinopteri,Perciformes,Platycephalidae,Platycephalus,conatus,,Waite & McCulloch 1915,Deep-water flathead,Southeast Australia,Australia,Oceania,-39.342343,138.563671,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - Stock Synthesis v2.0 model,No,2005,4088.69
19311,Actinopteri,Ophidiiformes,Ophidiidae,Genypterus,blacodes,,(Forster 1801),Pink cusk-eel,Southeast Australia,Australia,Oceania,-39.342343,138.563671,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - Stock Synthesis v2.0 model,No,2005,2439.74
19312,Actinopteri,Trachichthyiformes,Trachichthyidae,Hoplostethus,atlanticus,,Collett 1889,Orange roughy,Southeast Australia,Australia,Oceania,-39.342343,138.563671,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - Stock Synthesis v2.0 model,No,2005,3602.99
19313,Actinopteri,Perciformes,Sillaginidae,Sillago,flindersi,,McKay 1985,Eastern school whiting,Southeast Australia,Australia,Oceania,-39.342343,138.563671,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - Stock Synthesis v2.0 model,No,2005,2649.83
19314,Actinopteri,Scombriformes,Centrolophidae,Seriolella,punctata,,(Forster 1801),Silver warehou,Southeast Australia,Australia,Oceania,-39.342343,138.563671,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - Stock Synthesis v2.0 model,No,2005,11395.1
19331,Actinopteri,Perciformes,Sparidae,Chrysophrys,auratus,,(Forster 1801),Silver seabream,Southern Gulf St. Vincent,Australia,Oceania,-35.402247,138.23959,FALSE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,TB-MT,Unknown - SnapEst age and length based model,No,2005,2286.905
19340,Actinopteri,Perciformes,Sparidae,Chrysophrys,auratus,,(Forster 1801),Silver seabream,Southern Spencer Gulf Australia,Australia,Oceania,-34.735998,136.4846,FALSE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,TB-MT,Unknown - SnapEst age and length based model,No,2005,4306.355
19341,Actinopteri,Zeiformes,Oreosomatidae,Pseudocyttus,maculatus,,Gilchrist 1906,Smooth oreo dory,Southland New Zealand,New Zealand,Oceania,-46.116954,165.912014,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - CASAL,No,2005,3992.69
19342,Actinopteri,Gadiformes,Merlucciidae,Merluccius,australis,,(Hutton 1872),Southern hake,Sub-Antarctic,New Zealand,Oceania,-37.8425,79.59417,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - CASAL,No,2005,54219.9
19367,Actinopteri,Zeiformes,Oreosomatidae,Allocyttus,niger,,"James, Inada & Nakamura 1988",Black oreo,West end of Chatham Rise,New Zealand,Oceania,-43.5,180,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - CASAL,No,2005,26591.2
19368,Actinopteri,Zeiformes,Oreosomatidae,Pseudocyttus,maculatus,,Gilchrist 1906,Smooth oreo dory,West end of Chatham Rise,New Zealand,Oceania,-43.5,180,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - CASAL,No,2005,25990.3
19372,Actinopteri,Scombriformes,Centrolophidae,Seriolella,brama,,(Günther 1860),Common warehou,Western half of Southeast Australia,Australia,Oceania,-36.566674,134.508221,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - Stock Synthesis v2.0 model,No,2005,843.22
19373,Actinopteri,Ophidiiformes,Ophidiidae,Genypterus,blacodes,,(Forster 1801),Pink cusk-eel,Western half of Southeast Australia,Australia,Oceania,-36.566674,134.508221,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - Stock Synthesis v2.0 model,No,2005,4627.25
19374,Actinopteri,Gadiformes,Merlucciidae,Macruronus,novaezelandiae,,(Hector 1871),Blue grenadier,Western New Zealand,New Zealand,Oceania,-42.507086,167.443493,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,SSB-MT,Integrated Analysis - CASAL,No,2005,94831.2
23310,Reptilia,Testudines,Cheloniidae,Natator,depressus,,"(Garman, 1880)",Flatback turtle,"Field Island, Kakadu National Park, Northern Territory",Australia,Oceania,-12.106832,132.385089,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Estimated abundance,Estimated abundance based on long-term capture-mark-recapture programme,No,2005,168
